Run Date;Combo;Ticker;Fail Count;Top Reason;Top Reason Count;First Failed At;Last Failed At;Reasons JSON
2026-04-26;COMBO;6051.HK;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;KHE0.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;TIW.DE;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;8AN.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;ZC9.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;ALPER.PA;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;1IR.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;1KY.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;6240.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;A980.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;53N.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;QFR.OL;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;HTE.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;AL0.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;C8O.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;LAY3.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;R2B.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;V7N.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;ABXX.TO;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;TCRR;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;8YZ.SI;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;294.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;O5L.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;WDC.DE;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;H5PA.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;NIQ;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;6B4.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;WLD.AX;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;G07.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;LVT.AX;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;I7N.DE;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;CNPF.PS;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;GL4.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;M71.F;1;Download leer oder zu kurz;0;;;{}
